Expiry,Class,Scheme,IC,Entropy,Length,Z_Length,TFIDF_S,TFIDF_H,TFIDF_J
342663157,0,0,0.039215688,3.4613202,18,-0.4714989591758508,0.0,0.0,0.0
74638547,0,0,0.10826211,3.110207,27,-0.4064646199791817,0.0,0.0,0.6780719051126378
32487175,1,0,0.012307692,4.3927474,26,-0.4136906576677005,0.0,0.0,0.0
27907975,0,0,0.013419256,5.863938,403,2.310525550903882,0.0,0.0,0.0
0,0,0,0.0,2.0,4,-0.5726634868151138,0.0,0.0,0.6780719051126378
0,0,0,0.0,2.321928,5,-0.565437449126595,0.0,0.0,0.6780719051126378
29895197,1,0,0.02153846,4.209867,26,-0.4136906576677005,0.0,0.0,0.0
207303197,0,0,0.04189123,4.654949,157,0.5329202795282605,0.0,0.0,0.6780719051126378
0,0,1,0.010869565,4.168296,24,-0.2893452017790577,0.0,2.807354922057604,0.0
30146760,0,0,0.057142857,3.7153547,36,-0.17986323353833317,0.0,0.0,0.0
0,0,0,0.025641026,3.3927474,13,-0.3897036726663885,0.0,0.0,1.222392421336448
0,0,0,0.102564104,2.6612263,13,-0.3897036726663885,0.0,0.0,1.222392421336448
27727570,0,0,1.0,-0.0,1,-0.49918564090711304,0.0,0.0,1.222392421336448
0,1,0,0.055530693,3.9617424,328,2.4841979936526304,0.0,2.807354922057604,0.0
28764410,0,0,0.059988353,4.229649,102,0.42228759178565173,0.0,0.0,1.222392421336448
59090811,0,0,0.02631579,3.4464393,20,-0.32583919119263255,0.0,0.0,1.222392421336448
59090811,0,0,1.0,-0.0,1,-0.49918564090711304,0.0,0.0,1.222392421336448
0,0,0,0.0,2.0,4,-0.4718151488469319,0.0,0.0,1.222392421336448
27556611,0,0,1.0,-0.0,1,-0.49918564090711304,0.0,0.0,1.222392421336448
0,0,1,0.20512821,1.9500637,13,-0.3897036726663885,0.0,0.0,1.222392421336448
29974012,0,0,0.15714286,2.7132163,21,-0.3167156938392388,0.0,0.0,1.222392421336448
32738812,0,0,0.05147059,3.3371754,17,-0.35320968325281366,0.0,0.0,1.222392421336448
30146812,0,0,0.10384069,3.1051402,38,-0.16161623883154574,0.0,0.0,1.222392421336448
90626812,0,0,0.06871036,3.8676338,44,-0.10687525471118348,0.0,0.0,0.0
0,0,0,0.036363635,2.6635327,11,-0.4079506673731759,0.0,0.0,0.0
0,0,0,0.050403226,3.7067475,32,-0.216357222951908,0.0,0.0,0.0
0,0,0,0.04761905,2.5216405,7,-0.44444465678675077,0.0,0.0,0.0
